Hawking primary spectra for each particle types.
energy/particle         photon         gluons          higgs            W+-             Z0      neutrinos       electron           muon            tau             up           down          charm        strange            top         bottom
    2.57348e+02    1.12393e-75    8.99147e-75    5.15220e-76    3.37180e-75    1.68590e-75    2.95981e-75    1.97321e-75    1.97321e-75    1.97321e-75    5.91963e-75    5.91963e-75    5.91963e-75    5.91963e-75    5.91963e-75    5.91963e-75
    2.86748e+02    4.97155e-87    3.97724e-86    2.24563e-87    1.49147e-86    7.45733e-87    1.30623e-86    8.70818e-87    8.70818e-87    8.70818e-87    2.61246e-86    2.61246e-86    2.61246e-86    2.61246e-86    2.61246e-86    2.61246e-86
    3.19507e+02    1.09014e-99    8.72115e-99   4.87051e-100    3.27043e-99    1.63522e-99    2.73278e-99    1.82185e-99    1.82185e-99    1.82185e-99    5.46555e-99    5.46555e-99    5.46555e-99    5.46555e-99    5.46555e-99    5.46555e-99
    3.56008e+02   7.54255e-114   6.03404e-113   3.31814e-114   2.26277e-113   1.13138e-113   1.92171e-113   1.28114e-113   1.28114e-113   1.28114e-113   3.84342e-113   3.84342e-113   3.84342e-113   3.84342e-113   3.84342e-113   3.84342e-113
    3.96679e+02   1.68588e-129   1.34870e-128   7.29217e-130   5.05763e-129   2.52882e-129   3.98966e-129   2.65977e-129   2.65977e-129   2.65977e-129   7.97932e-129   7.97932e-129   7.97932e-129   7.97932e-129   7.97932e-129   7.97932e-129
    4.41997e+02   5.35958e-147   4.28767e-146   2.26927e-147   1.60787e-146   8.03937e-147   1.24061e-146   8.27072e-147   8.27072e-147   8.27072e-147   2.48121e-146   2.48121e-146   2.48121e-146   2.48121e-146   2.48121e-146   2.48121e-146
    4.92492e+02   1.49179e-166   1.19343e-165   6.21161e-167   4.47538e-166   2.23769e-166   3.39535e-166   2.26356e-166   2.26356e-166   2.26356e-166   6.79069e-166   6.79069e-166   6.79069e-166   6.79069e-166   6.79069e-166   6.79069e-166
    5.48756e+02   3.13880e-188   2.51104e-187   1.26525e-188   9.41639e-188   4.70820e-188   6.85921e-188   4.57281e-188   4.57281e-188   4.57281e-188   1.37184e-187   1.37184e-187   1.37184e-187   1.37184e-187   1.37184e-187   1.37184e-187
    6.11447e+02   1.89149e-212   1.51319e-211   7.45326e-213   5.67446e-212   2.83723e-212   3.85976e-212   2.57317e-212   2.57317e-212   2.57317e-212   7.71952e-212   7.71952e-212   7.71952e-212   7.71952e-212   7.71952e-212   7.71952e-212
    6.81301e+02   1.75848e-239   1.40678e-238   6.64610e-240   5.27543e-239   2.63771e-239   4.05129e-239   2.70086e-239   2.70086e-239   2.70086e-239   8.10258e-239   8.10258e-239   8.10258e-239   8.10258e-239   8.10258e-239   8.10258e-239
    7.59135e+02   1.56236e-269   1.24989e-268   5.68319e-270   4.68709e-269   2.34354e-269   3.45637e-269   2.30424e-269   2.30424e-269   2.30424e-269   6.91273e-269   6.91273e-269   6.91273e-269   6.91273e-269   6.91273e-269   6.91273e-269
